,permno,ticker
665,10253,DSS
666,10253,DSS
667,10253,DSS
668,10254,STRL
669,10255,VERT
670,10256,ODSI
671,10256,MLOG
672,10257,DGSI
673,10257,TSTF
674,10257,TSTF
675,10257,TSTF
676,10257,TSTF
677,10257,DLHC
678,10258,TCEL
679,10258,TCEL
680,10258,AVAN
681,10258,AVAN
682,10258,AVAN
683,10258,CLDX
684,10258,CLDX
685,10259,SIGM
686,10260,ASVD
687,10260,ASVD
688,10261,MTNR
689,10262,CSAI
690,10263,LIFS
691,10263,LIFS
692,10263,MRMK
693,10263,MRMK
694,10264,UNIV
695,10264,
696,10264,UNIV
697,10265,FMFS
698,10266,WLBK
699,10266,WLBK
700,10266,WLBK
701,10266,STLG
702,10267,NIEX
703,10267,NIEX
704,10268,
705,10268,
706,10268,ACA
707,10268,ACA
708,10268,
709,10268,ACON
710,10269,AIAI
711,10270,SVCO
712,10271,MASB
713,10271,MASB
714,10271,MASB
715,10271,MASB
716,10272,TKLC
717,10272,TKLC
718,10273,LDMK
719,10273,LDMK
720,10274,BETA
721,10274,
722,10274,
723,10274,BETA
724,10275,SNTKY
725,10275,SNTKY
726,10275,SNTKY
727,10275,SNTK
728,10276,
729,10276,
730,10276,ACS
731,10276,ACS
732,10277,AIDCA
733,10278,HENG
734,10278,WHGP
735,10278,WTI
736,10278,WTI
737,10279,GENI
738,10280,PRCM
739,10281,AUTO
740,10282,BRDL
741,10283,APOP
742,10284,
743,10285,AIMT
744,10285,AIMT
745,10285,AIM
746,10286,PROS
747,10286,PROSZ
748,10286,PROSZ
749,10286,PROS
750,10286,PROS
751,10286,PROSZ
752,10286,PROS
753,10286,PROS
754,10287,ATIM
755,10287,ATIM
756,10287,ATI
757,10288,BEAR
758,10289,ANME
759,10290,HGIC
760,10291,FAMI
761,10291,FAMI
762,10292,
763,10292,ACJ
764,10293,AINS
765,10294,HAVTA
766,10294,HVT
767,10294,HVT
768,10294,HVT
769,10294,HVT
770,10294,HVT
771,10295,MEMB
772,10296,GSSC
773,10297,LSSB
774,10297,NHTB
775,10297,NHTB
776,10297,NHTB
777,10297,LSBG
778,10298,AQSI
779,10298,AQSI
780,10299,LLTC
781,10300,WCSI
782,10300,WCSI
783,10301,TLOG
784,10301,TLOG
785,10302,CYPR
786,10302,CY
787,10302,CY
788,10303,PRME
789,10303,
790,10303,PRME
791,10303,
792,10303,PMCP
793,10304,AMFI
794,10304,AMFI
795,10305,
796,10306,AITS
797,10307,MTIK
798,10307,MTIK
799,10307,MBSI
800,10308,TCTC
801,10308,TCTC
802,10308,TMP
803,10308,TMP
804,10308,TMP
805,10308,TMP
806,10308,TMP
807,10309,SKAN
808,10309,SKAN
809,10309,CTBK
810,10309,SKAN
811,10309,SKAN
812,10310,TOUR
813,10311,ALLS
814,10312,PTHI
815,10313,
816,10313,AMC
817,10313,AMC
818,10314,AMTV
819,10314,AMTV
820,10314,AMTV
821,10314,AMCI
822,10315,NVID
823,10315,NVID
824,10316,CMPL
825,10316,
826,10316,CMPL
827,10316,CMPL
828,10317,TMAN
829,10317,SOUT
830,10318,BLCC
831,10318,BLCC
832,10318,BLCC
833,10318,BCP
834,10318,BCPC
835,10319,MHBK
836,10319,FIBI
837,10320,AMBI
838,10321,
839,10321,
840,10321,
841,10321,AMO
842,10321,AMO
843,10322,BFBS
844,10322,BFBS
845,10323,CATS
846,10323,CADS
847,10324,GENZ
848,10325,JBAK
849,10325,CMAL
850,10326,NYTS
851,10326,NYTS
852,10327,USBA
853,10327,USBA
854,10328,HANA
855,10328,SOMA
856,10329,SWAL
857,10329,
858,10329,SWAL
859,10329,SWAL
860,10329,SWAL
861,10330,MOVY
862,10331,TOWR
863,10331,TOWR
864,10331,TOWR
865,10332,NAOR
866,10332,CANA
867,10332,CANA
868,10333,XOMA
869,10333,XOMA
870,10333,XOMA
871,10333,XOMA
872,10333,XOMA
873,10333,XOMA
874,10334,CSFS
875,10335,SSSL
876,10335,SSSL
877,10336,OPER
878,10337,PSSB
879,10337,PSSB
880,10337,PSSB
881,10337,
882,10337,PSSB
883,10337,PSSB
884,10338,APOL
885,10339,AMTY
886,10339,AMTY
887,10339,AMTY
888,10339,CBCB
889,10339,CBCB
890,10340,FGBI
891,10341,ABBK
892,10341,ABBK
893,10341,ABBK
894,10341,ABBK
895,10341,ABBK
896,10341,ABBK
897,10342,IMDC
898,10342,
899,10342,IMDC
900,10342,
901,10342,IMDC
902,10343,INFTA
903,10343,
904,10343,INFTA
905,10343,INF
906,10344,LINN
907,10345,CRLY
908,10345,CRLY
909,10346,FUTR
910,10346,FUTR
911,10346,
912,10346,FUTR
913,10346,FUTR
914,10346,FUTR
915,10347,ASTI
916,10348,
917,10348,
918,10349,AFID
919,10349,AMFI
920,10349,AMFI
921,10350,MPHO
922,10350,MPO
923,10351,PCOR
924,10352,MRTA
925,10353,ADPT
926,10353,ADPT
927,10353,
928,10353,
929,10353,
930,10353,SXCL
931,10354,ICBI
932,10354,ICBI
933,10355,DJCO
934,10355,DJCO
935,10356,
936,10357,AMIN
937,10358,ARIG
938,10358,ARI
939,10358,ARI
940,10359,MALL
941,10360,AVDL
942,10361,ATOG
943,10362,NAVI
944,10362,NAVI
945,10362,BUTL
946,10362,BUTL
947,10363,ADMG
948,10363,MIT
949,10363,AVM
950,10363,AMAG
951,10363,AMAG
952,10364,
953,10364,AR
954,10364,AR
955,10364,AR
956,10365,AMIS
957,10366,SBKSA
958,10367,HSLD
959,10367,HSLD
960,10368,TSBK
961,10368,TSBK
962,10369,WOBS
963,10369,WOBS
964,10369,WOBS
965,10370,SIBR
966,10371,CLZR
967,10371,CLZR
968,10372,
969,10372,
970,10372,AST
971,10372,AST
972,10372,AST
973,10373,AMSS
974,10374,DMET
975,10374,DMET
976,10374,DMET
977,10375,TCFC
978,10375,TCFC
979,10375,TCB
980,10375,TCB
981,10375,TCB
982,10375,TCB
983,10375,TCB
984,10375,TCF
985,10376,NSSX
986,10376,NSSX
987,10377,CLIF
988,10378,OVAB
989,10378,
990,10378,OVAB
991,10379,IGEI
992,10380,
993,10381,NFCO
994,10382,ASTE
995,10383,CYTO
996,10383,CYTO
997,10384,RUDY
998,10384,
999,10384,RUDY
1000,10385,ATNN
1001,10385,ATNN
1002,10385,ATNN
1003,10386,ZIPP
1004,10386,ZIPP
1005,10386,ATCT
1006,10386,ATCT
1007,10386,ATCT
1008,10386,AGIS
1009,10387,WSTX
1010,10387,
1011,10387,WESX
1012,10387,FLAX
1013,10388,TREN
1014,10388,TWK
1015,10388,TWK
1016,10388,TWK
1017,10389,NEEC
1018,10390,GHSI
1019,10390,GHSI
1020,10390,
1021,10390,GHSI
1022,10390,
1023,10390,GHSI
1024,10391,CFSL
1025,10391,CFSL
1026,10392,PWSB
1027,10392,PWSB
1028,10393,NNSL
1029,10393,NNSL
1030,10393,NNSL
1031,10393,TDMK
1032,10393,TDMK
1033,10394,COSF
1034,10394,COSC
1035,10394,COSCB
1036,10395,NAVG
1037,10396,CPRC
1038,10397,WERN
1039,10398,LEAF
1040,10398,LEAF
1041,10399,
1042,10400,APFE
1043,10401,
1044,10401,T
1045,10401,T
1046,10401,T
1047,10401,T
1048,10401,T
1049,10402,ARLN
1050,10402,APIT
1051,10403,WOWI
1052,10404,TMNI
1053,10404,TMNI
1054,10404,TMNI
1055,10404,TMN
1056,10404,TMN
1057,10404,IRN
1058,10404,IRN
1059,10404,DINE
1060,10404,DINE
1061,10405,IVMI
1062,10406,DOSE
1063,10406,DOSE
1064,10406,DOSE
1065,10407,ALET
1066,10408,HELP
1067,10409,DIET
1068,10410,JMED
1069,10410,JMED
1070,10411,RLAB
1071,10411,
1072,10411,RLAB
1073,10411,RLAB
1074,10412,GECM
1075,10413,ROYL
1076,10414,ELDC
1077,10414,ELDC
1078,10415,NUTM
1079,10415,NTM
1080,10416,BILT
1081,10417,ALOY
1082,10418,ASAA
1083,10418,ASAA
1084,10418,ASAA
1085,10418,ASAA
1086,10419,CRTV
1087,10419,CRTV
1088,10419,
1089,10419,CRTV
1090,10419,CRTV
1091,10419,CRTV
1092,10419,CRTV
1093,10419,CRTV
1094,10420,RDVA
1095,10421,SKYW
1096,10421,SKYW
1097,10422,AILP
1098,10422,AILP
1099,10422,AILP
1100,10423,SUND
1101,10424,CLEV
1102,10425,RBCO
1103,10426,BOSF
1104,10426,BOF
1105,10426,BOF
1106,10426,SFH
1107,10427,FILM
1108,10428,
1109,10429,ASKI
1110,10429,ASKI
1111,10430,CPSI
1112,10430,CPSI
1113,10431,SCFB
1114,10431,SCFB
1115,10431,SCFB
1116,10432,ARIT
1117,10433,BABY
1118,10434,LAGR
1119,10434,LA
1120,10435,FFCA
1121,10435,FFCA
1122,10435,FFCA
1123,10436,
1124,10436,ZA
1125,10436,ZA
1126,10436,ZA
1127,10437,RAWC
1128,10438,HFSF
1129,10438,HFSF
1130,10438,HFSF
1131,10439,CELS
1132,10439,CELS
1133,10439,CELSD
1134,10439,CELS
1135,10440,WATFY
1136,10441,XYVI
1137,10442,KLLM
1138,10443,FRKT
1139,10443,FRPP
1140,10443,PATR
1141,10443,FRPH
1142,10444,
1143,10444,
1144,10445,ARII
1145,10446,POLK
1146,10446,PKA
1147,10447,THFI
1148,10447,THFI
1149,10448,LGUM
1150,10449,SSBB
1151,10449,BKCT
1152,10449,BKCT
1153,10449,BKCT
1154,10450,FMDC
1155,10450,FMDC
1156,10451,FHPC
1157,10451,FHPC
1158,10452,
1159,10453,BFEN
1160,10453,BFEN
1161,10454,GDEX
1162,10455,CMSE
1163,10455,ACMS
1164,10455,ACMS
1165,10455,ACMS
1166,10455,CME
1167,10455,AQS
1168,10456,CEMX
1169,10457,BFSI
1170,10458,SOSA
1171,10458,SOSA
1172,10458,SOSA
1173,10458,SOSA
1174,10459,GNMR
1175,10460,
1176,10460,
1177,10460,
1178,10460,AME
1179,10460,AME
1180,10461,DIBK
1181,10461,DIBK
1182,10461,DIBK
1183,10462,CGNE
1184,10462,CGNE
1185,10463,REFR
1186,10463,REFR
1187,10464,CCBK
1188,10465,ACPT
1189,10466,BIGI
1190,10467,WFCS
1191,10467,WFCS
1192,10467,WRNB
1193,10467,WRNB
1194,10467,WRNB
1195,10468,ACRL
1196,10468,ACRL
1197,10469,DYTM
1198,10470,MOKG
1199,10471,QBIO
1200,10471,QBIO
1201,10472,SHOE
1202,10473,TIPT
1203,10474,EORR
1204,10475,RICH
1205,10476,BMRG
1206,10477,NVSI
1207,10477,NBSN
1208,10477,AVSS
1209,10478,OBAT
1210,10478,USAB
1211,10479,
1212,10479,ASR
1213,10479,ASR
1214,10479,ASR
1215,10479,ASR
1216,10480,ATVS
1217,10481,SUBBA
1218,10482,WRII
1219,10483,ACGI
1220,10484,WSTNA
1221,10484,WSTNA
1222,10485,FAMB
1223,10485,FAMB
1224,10485,FAMB
1225,10485,FAMB
1226,10486,CBCT
1227,10486,CBCT
1228,10486,CBCT
1229,10486,CBCT
1230,10487,
1231,10487,
1232,10487,AD
1233,10487,AD
1234,10488,AVMC
1235,10488,ALGI
1236,10488,ALGI
1237,10489,ASBS
1238,10490,GART
1239,10491,FATV
1240,10491,FATV
1241,10492,SUHC
1242,10493,NEOL
1243,10493,NEOL
1244,10494,SWCB
1245,10494,SWCB
1246,10494,SWCB
1247,10495,
1248,10495,
1249,10495,A
1250,10495,A
1251,10496,AWCSA
1252,10497,TEXT
1253,10498,GRBC
1254,10499,NHIC
1255,10500,BKMD
1256,10501,AMWD
1257,10502,AMMI
1258,10503,DFED
1259,10503,DFED
1260,10503,TRBK
1261,10504,BPCO
1262,10505,JLUB
1263,10505,JLUB
1264,10506,STVEA
1265,10506,IBIN
1266,10507,MDCI
1267,10507,MDCI
1268,10508,
1269,10509,AARN
1270,10510,CBFC
1271,10511,CURY
1272,10512,IGNE
1273,10513,LIPO
1274,10514,TWMC
1275,10514,TWMC
1276,10514,TWMC
1277,10514,TWMC
1278,10514,KSPN
1279,10515,GWTI
1280,10515,FDGT
1281,10516,
1282,10516,ADM
1283,10516,ADM
1284,10516,ADM
1285,10516,ADM
1286,10517,ARON
1287,10517,ARON
1288,10517,ARON
1289,10517,ARONA
1290,10517,RNT
1291,10517,RNT
1292,10517,RNT
1293,10517,AAN
1294,10517,AAN
1295,10517,AAN
1296,10517,AAN
1297,10517,PRG
1298,10517,PRG
1299,10517,PRG
1300,10518,PSWA
1301,10519,IFEI
1302,10520,BERS
1303,10521,CAFE
1304,10522,CJII
1305,10522,CJII
1306,10522,CJII
1307,10522,TRIA
1308,10523,ALUR
1309,10524,
1310,10524,AM
1311,10524,AM
1312,10524,AM
1313,10524,AM
1314,10525,ARON
1315,10526,SLHC
1316,10527,MNXI
1317,10527,MNXI
1318,10527,MVII
1319,10527,MVII
1320,10528,COMM
1321,10529,CSEC
1322,10530,KITS
1323,10530,VIVO
1324,10530,VIVO
1325,10531,GPAR
1326,10531,MTLM
1327,10531,MTLM
1328,10532,
1329,10532,ACT
1330,10533,
1331,10534,BKST
1332,10534,FCBK
1333,10535,FLWR
1334,10535,
1335,10535,FLWR
1336,10536,EDCO
1337,10537,SYNT
1338,10538,READ
1339,10539,LEXT
1340,10540,
1341,10541,ARUB
1342,10541,ARPC
1343,10542,NESB
1344,10542,NESB
1345,10542,NESB
1346,10542,NESB
1347,10543,LAST
1348,10543,CSEL
1349,10543,CSEL
1350,10544,NCEL
1351,10544,
1352,10544,NCEL
1353,10545,THIS
1354,10545,THI
1355,10546,RSLA
1356,10546,RSLA
1357,10547,APAT
1358,10547,APAT
1359,10547,APAT
1360,10547,CLFD
1361,10548,NETW
1362,10548,NETW
1363,10549,WHOA
1364,10550,PDEX
1365,10550,PDEX
1366,10550,PDEX
1367,10550,PDEX
1368,10551,GROV
1369,10551,GROV
1370,10551,GROV
1371,10551,GROV
1372,10552,FSBK
1373,10552,FSBK
1374,10553,FSEB
1375,10553,FSEB
1376,10554,PNCH
1377,10555,AMEI
1378,10556,STAR
1379,10556,
1380,10556,STAR
1381,10557,GEOX
1382,10557,GEOX
1383,10558,WRPS
1384,10559,
1385,10559,DG
1386,10559,DG
1387,10560,ABY
1388,10560,ABY
1389,10561,TRRE
1390,10561,TRRE
1391,10561,TRRE
1392,10561,HTPI
1393,10562,PSVB
1394,10562,SVRN
1395,10562,SVRN
1396,10562,SVRN
1397,10562,SOV
1398,10563,HRZB
1399,10563,HRZB
1400,10563,HRZB
1401,10563,HRZB
1402,10564,ADELA
1403,10564,ADLA
1404,10564,ADLA
1405,10565,CSBA
1406,10565,CSBA
1407,10565,CSBA
1408,10565,CNBA
1409,10566,HFNO
1410,10566,HVFD
1411,10567,
1412,10568,ABRI
1413,10568,ABRI
1414,10568,ABRI
1415,10568,ABRI
1416,10568,ABRI
1417,10568,ABRI
1418,10568,SERV
1419,10569,TBCX
1420,10569,TBCX
1421,10569,CTBX
1422,10569,CFCX
1423,10570,ATCM
1424,10570,ATCM
1425,10571,EATS
1426,10572,DEVN
1427,10573,BOOK
1428,10573,BOOK
1429,10573,BOOK
1430,10574,BEMC
1431,10574,BLM
1432,10574,BLM
1433,10574,BNT
1434,10574,BNT
1435,10575,
1436,10575,SF
1437,10575,SF
1438,10575,ASF
1439,10576,UINS
1440,10576,ACIG
1441,10577,MDRX
1442,10578,ALTI
1443,10579,TATM
1444,10580,NFSF
1445,10581,WCYS
1446,10581,WCYS
1447,10581,WCYS
1448,10581,BNKW
1449,10582,EASC
1450,10583,
1451,10584,ACAD
1452,10585,HOLD
1453,10585,HOLD
1454,10585,GMXC
1455,10586,QUIP
1456,10587,ICGI
